trial_number,stim_type,tone,intensity,ITI,stim_paths,response_duration
19,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
20,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
21,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
22,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
23,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
24,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
25,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
26,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
27,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
28,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
29,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
30,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
31,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
32,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
33,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
34,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
35,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
36,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
37,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
38,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
39,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
40,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
41,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
42,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
43,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
44,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
45,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
46,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
47,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
48,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
49,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
50,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
51,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
52,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
53,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
54,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
55,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
56,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
57,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
58,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
59,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
60,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
61,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
62,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
63,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
64,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
65,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
66,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
67,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
68,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
69,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
70,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
71,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
72,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
73,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
74,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
75,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
76,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
77,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
78,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
79,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
80,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
81,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
82,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
83,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
84,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
85,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
86,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
87,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
88,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
89,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
90,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
91,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
92,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
93,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
94,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
95,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
96,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
97,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
98,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
99,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
100,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
101,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
102,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
103,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
104,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
105,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
106,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
107,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
108,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
109,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
110,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
111,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
112,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
113,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
114,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
115,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
116,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
117,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
118,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
119,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
120,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
121,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
122,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
123,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
124,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
125,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
126,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
127,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
128,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
129,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
130,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
131,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
132,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
133,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
134,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
135,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
136,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
137,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
138,angry,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
139,sad,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
140,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
141,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
142,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
143,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
144,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
145,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
146,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
147,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
148,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
149,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
150,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
151,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
152,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
153,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
154,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
155,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
156,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
157,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_075_.jpg,0.8
158,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
159,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
160,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
161,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_050_.jpg,0.8
162,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_075_.jpg,0.8
163,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
164,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
165,sad,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
166,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
167,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
168,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
169,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
170,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_050_.jpg,0.8
171,angry,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
172,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_075_.jpg,0.8
173,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
174,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_075_.jpg,0.8
175,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Ang_100_.jpg,0.8
176,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
177,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC09_Sad_075_.jpg,0.8
178,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_075_.jpg,0.8
179,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_075_.jpg,0.8
180,sad,low,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_050_.jpg,0.8
181,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
182,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_050_.jpg,0.8
183,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_050_.jpg,0.8
184,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
185,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
186,sad,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC07_Sad_050_.jpg,0.8
187,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
188,angry,high,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
189,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC02_Sad_100_.jpg,0.8
190,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_050_.jpg,0.8
191,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
192,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
193,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC09_Ang_075_.jpg,0.8
194,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC07_Ang_050_.jpg,0.8
195,angry,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Ang_075_.jpg,0.8
196,sad,low,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Sad_050_.jpg,0.8
197,angry,high,low,0.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Ang_050_.jpg,0.8
198,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC04_Sad_100_.jpg,0.8
199,angry,high,low,1.0,/js/tasks/emotional_faces_v2/media/faces/MC08_Ang_075_.jpg,0.8
200,sad,low,low,1.5,/js/tasks/emotional_faces_v2/media/faces/MC05_Sad_075_.jpg,0.8
