trials_block,game_type,probability_1,probability_2,probability_3,face_group,face_1,face_2,face_3
16,unpleasant,0.7886,0.6485,0.7971,16,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1053.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1059.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_19/NF-1107.jpg
16,unpleasant,0.2993,0.6921,0.1387,7,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1063.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1097.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_7/NF-1105.jpg
16,unpleasant,0.3672,0.0943,0.6427,34,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_34/CFD-BM-043-071-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_34/CFD-BM-232-213-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_34/CFD-BM-240-207-N.jpg
16,pleasant,0.6661,0.1447,0.7227,25,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1004.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1069.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_25/NF-1087.jpg
16,unpleasant,0.6661,0.1447,0.7227,35,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-217-070-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-235-147-N.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_35/CFD-WM-245-123-N.jpg
16,pleasant,0.6771,0.8909,0.1205,6,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1047.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1068.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_6/NF-1110.jpg
16,pleasant,0.2993,0.6921,0.1387,10,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1003.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1008.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_10/NF-1062.jpg
16,unpleasant,0.5003,0.4056,0.3771,14,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1076.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1080.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_14/NF-1099.jpg
16,unpleasant,0.5586,0.5424,0.6091,4,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1005.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1015.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_4/NF-1017.jpg
16,pleasant,0.5797,0.5017,0.1139,12,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1030.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1045.jpg,/js/tasks/cooperation_task/media/AMFD_CFD_Faces/Group_12/NF-1073.jpg
