id,mkturk_id,task_chicken_T1,task_chicken_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2,survey_panasx_T1,survey_panasx_T2
396,A8OE2E20OZYKI,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
402,A2J237J8KM3OCS,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
404,A3EQ6C5226X6XN,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
408,AQ53YJDPDDLZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
412,A1Z6F6EIUJFC6T,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
413,A1IHI23KH87K5W,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
418,A21SF3IKIZB0VN,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
422,A1NF6PELRKACS9,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
425,A3HOBJ4PJUOCUN,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
429,A39C1BN9ZSQ0R2,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
433,A1ONILGBGJ8Y5K,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
440,A27MJOV91GA8R3,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
444,A3SHZQLYH7L1V4,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
448,A100VV1V2XDQI7,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
451,ARLGZWN6W91WD,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
453,A2K7AVZWEC9B14,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
455,AJZBAP861F6X1,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
460,AE03LUY7RH400,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
461,A20VJWCDIBKTZI,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
462,A3CFNUD7VR2E1E,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
472,A1JKSAQ8UNCE7B,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
474,A10NF5TK6IFNX6,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
479,A3SKEW89V5S0DI,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
487,A14A8J5H98KLO6,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
490,A2SBISQJE2ZPJQ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
491,AW0MG225VXWCN,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
497,A1PAR1TMKFPKQE,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
500,A1D4I1QYL9713I,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
503,A2L366NNL1YG5W,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
507,AJWEKZC89EJ9D,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
509,A1KFIQBETMB81I,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
515,A3P2LT53J1GUBG,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
521,A2UTHXLZL8TNBK,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
526,A2OZ5SOGNN9QOA,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
541,A1ELYVM5GQIBM0,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
552,A13XXMDHOULEZ7,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
559,A53VYIFCCASOA,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
570,A2BO8M77CS3SGZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
575,A1KKPEUJZS5410,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
605,A2QGQOWEM9G55,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
613,A2IU5TX5S0FA1C,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
616,A374STD2W8N1U8,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
622,AJNQ2PBD07FKE,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
629,A13166BUJ0H61J,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
630,A3D9L5CQXK1YJL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
645,A32EY0IHHNAW9N,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
653,A1B8GYI6D690QX,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
656,A26GF078IX9A43,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
659,A3TBA7X9EF16W6,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
667,A3E26Y02PGX10Y,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
670,AAWX7QFQUNM6D,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
676,A1Q2C5GJTB09WW,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
680,A3EGOFTCKJYGW,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
684,AF6WFN2THVM4A,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
687,A18MC27WTCEBA2,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
695,A3NF9B2NLCLZWT,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
705,ABYKQRCNOFYGK,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
708,A28P3ZGZB3XG9P,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
715,A3R14E1XSCIZR6,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
718,A2FZE7CARM54IG,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
728,A1I9QQ4SLI2TC8,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
731,A1BQCRF5Q76YFY,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
738,AR1IWBDA7MC86,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
741,A2HR7ZIX42FEPG,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
749,A320BT7PLIQVZT,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
750,A1USDMJVT10CE4,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
760,A1U7AAKEZ4YXZD,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
765,A1BHINLXH3E2GJ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
769,A2MPA5OAT635HG,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
770,A2KLWSLNAXJUAZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
775,A2E6G3YGPG97B6,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
778,A194R45ACMQEOR,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
784,A1NJ6Q940T7HEB,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
791,A1XC5OV00MECKQ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
796,A26V8QMPU25JGC,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
802,A3N21HBZFYFEXJ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
806,A10VJJ27GNLOD7,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
813,A18LFH7XW61JO9,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
820,A1O0B8163G7W0N,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
823,A31XNLA9REVGXL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
827,A2XWD4PZM6JU0M,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
831,A3GZYWA9S6J0K9,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
834,A3KCWV8TW3Q71L,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
840,ANMWPCK7TJMZ8,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
843,AW9983V6TUGF8,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
846,A3TK9CLBA65ZZE,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
856,A1E1XXSCJHEA3T,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
860,A2R8IV2PWFTY00,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
865,A2KLDW5VRXUJ8S,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
878,A1HUUSCZ4I5SOP,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
879,A2HM35CWB7IIFM,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
880,A2YLF04UAKYVF1,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
882,A22KRF782ELLB0,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
891,A2EO6IBGQEOMLB,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
893,A171S8E9IFSHH2,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
894,A3O6D3HPXD0H8I,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
901,A2GM5BW75YCKKW,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
905,ASWZO1WY1UHEP,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
906,ALML8V38FDV0,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
913,A3HTLXAPOBCVVO,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
914,A35ARURSRU6UAZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
915,A2CZR0MGSEILRP,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
917,A2F2DDH12YU4AK,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
923,A2KJ983WWTEK4L,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
926,A2LCFORIW0NF1S,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
931,A3A8P4UR9A0DWQ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
933,A2SKH7WZUEDGGI,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
938,A3RQN5RZD1N2KP,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
939,A2M3KQ9CKP7YW,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
940,A23RGG9LXG380R,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
941,AIWEXPJAU66D9,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
942,AHEJHFN0VV6E3,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
943,A1STU8IA7S3WOK,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
944,A1QB42OYEG1553,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
948,A1ZZ7YO3YASNIP,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
950,AAXX5LDVJ32F8,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
951,A2581F7TDPAMBQ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
958,A26ZENZ5G8AEGM,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
971,A3OOD9IMOHPPFQ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
983,A39YBLQYIUBR76,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
986,A2U83S62P8SZ6T,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
989,A2SYRFPPV9WDEG,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
992,A30RAYNDOWQ61S,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
996,A2ZUCKYJE4DPV7,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1002,A1GLF2427E02YG,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1013,A2T1K94BLNDBAH,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1020,ABKPEX0E9W2HW,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1024,A1AYWUSULABAXL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1034,AHV4U78TUUDKI,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1039,A2T91F321UGZBX,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1043,A8F6JFG0WSELT,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1044,ASPRULQHB8B1F,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1050,A1FXXKSGZ7KVQI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1058,A3Q8KB8HOOIUL7,YES,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1069,A1RQQFUQ2GU9IZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1072,A3RU7ANMLXJQF6,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1099,A4T7PYGN1BE2P,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1101,A3N5P5VO81FIJ6,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1107,A1LXW53Z5S9XG,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1114,A3FOKP72T5I4FR,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1117,A157QHCC2VO7YA,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1120,A1VIP6S8H2XXH7,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1127,A1S34BUFNQ33SQ,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1131,43P5JK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1132,AYXIDCIGUA037,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1143,A1DRFDGG2KCOI2,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1153,A17AF9I56P3RVV,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1157,A1A1A9UHNQCI9Y,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1162,A2235F2T52E49T,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1166,A1HQL1FCG3DL81,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1172,A3HNEYFOIJWPH1,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1179,A2MJAXJEJ4SEQM,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1185,A3G9XIQD7RFDEK,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1194,A1L0G5ZGQPEF5I,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1201,A1X0H6VAK3AQE9,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1204,A28A3HF3LSEIDT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1206,A3454T4PU9GJM0,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1214,A3IHLWMZNBLUR4,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1221,A3C3RLZKKHH1FC,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1226,A2HMLPWXWU1Q7S,YES,NULL,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1230,A2LT5VXO2LS0UL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1233,A26D2ZZKJW7BXR,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1237,ABVM2KJ7CRNZ0,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1240,AS9E0S6DBSWH7,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1244,A2SMDHLM9CQJWM,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1252,A31RS26HTX0W37,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1255,A3MZ9RQJX9T656,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1263,A2Z3I9XW0SHBPY,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
