id,mkturk_id,task_dotprobe_T1,task_dotprobe_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2
17812,A289DF24X3Q8JZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17814,A1IXVXZ5AYYNMJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,NULL
17818,A2W3KKNN3CAY66,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17830,A3HTLXAPOBCVVO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17847,AEWGY34WUIA32,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17851,A22KRF782ELLB0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17853,ARVXIBUCA8WDZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17856,A6JOC24PSUEEC,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17864,A10LLZZHZVGWRW,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17882,A1U0GNE5ELW5V7,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17886,A38DC3BG1ZCVZ2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17888,A3UV55HC87DO9C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17896,A1IXQS0AB02CPA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17912,A1VIP6S8H2XXH7,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17921,AGVUHOBSCP6YC,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17923,A3F0NFNLOLFJT0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17926,AYF8B7WJO2YQU,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17948,ANUXUJE8QRE0C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17950,A177EXELDLWTWV,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17960,A2WGW5Y3ZFBDEC,NULL,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
17966,A1I9ZBV75AVWUS,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17971,A1JV64BL3WCK0G,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17978,A2LV5432PV1S39,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17984,A2R0YYUAWNT7UD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
17989,A1153ZIEQX0ZJ8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18000,A1MIR0TP081SKT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18004,A1Z6F6EIUJFC6T,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18006,A3RWDYQD1331VH,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18019,A26TY8FHMJ183C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18022,A1EITLFAMKA61U,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18031,A1V2H0UF94ATWY,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18038,A1HBIE5LRTQK1L,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18039,AVX3SWFMBEPMZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18050,A11R8G0FYA2UVQ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18056,A20NITCOBY4775,YES,NULL,YES,YES,YES,NULL,YES,NULL,YES,NULL
18062,AKVDY8OXNMQED,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18068,AIQT0DPRTXYYD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18073,A3NPYIGN1MP121,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
18080,A2NT3OQZUUZPEO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18085,A2VBSFSJXLZZ7A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18087,A10BH9PYCYUKDJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18098,A1GPZ5REMDQZ0L,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18132,A1P6OXEJ86HQRM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18214,A1MYBMOZH043LK,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18241,A9EVF0SO2IUJ0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18244,A9KSSJXDB6GPE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18278,AW0K78T4I2T72,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18303,A1VW8Y7XCV3DRW,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18326,A1DJDT4B5B19Q2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18356,A1NOINYD1FZ55T,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18367,AV22FQTJNBUZT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18396,AL6TUFYAMT6U4,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18414,A38DXFI1TZA295,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18480,A3EG4C9T4F5DUR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18496,A2K56J9POYUFCA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18517,A29VL3MZE7YPBZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18523,ALLP45O3BDWYM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18540,A39C1BN9ZSQ0R2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18546,AU2NVT51E749C,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18557,A33M7EZ72P8TWF,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18563,A8KHWKKGAGOH0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18578,A1D4I1QYL9713I,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
18585,ADKKDK6P4MS1Z,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18596,AKLV0WIZZ356X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18602,A1RQQFUQ2GU9IZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18612,A1TFWB4P6PXA3M,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18617,A1IU5OP7BBZHZ7,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18630,A2MKXI4KCRRI7Y,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18646,A3AY2HFW4AYZPN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18692,A1MTRZDRKNB9GV,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18713,A2389DERMNF3ZB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
18743,ALML8V38FDV0,YES,NULL,YES,YES,YES,YES,YES,YES,YES,NULL
18750,AGNJKSH5LFKXZ,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
18759, A3EOXBHKJRLB2Q,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
18765,A3EOXBHKJRLB2Q,YES,NULL,YES,NULL,YES,NULL,YES,NULL,YES,NULL
