game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,duplicate_game,old_left,old_right,prev_left_reward,prev_right_reward,prev_force_pos,prev_left_mean,prev_right_mean
23,h6,1,2,HL,60,72,R,40,28,Fishing,Surfing,,40,28,55,40,L,60,40
23,h6,1,3,HL,64,77,L,40,28,Fishing,Surfing,,36,23,67,41,R,60,40
23,h6,1,4,HL,60,73,X,40,28,Fishing,Surfing,,40,27,49,34,X,60,40
23,h6,1,5,HL,54,80,X,40,28,Fishing,Surfing,,46,20,57,35,X,60,40
23,h6,1,6,HL,50,79,X,40,28,Fishing,Surfing,,50,21,55,50,X,60,40
23,h6,1,7,HL,59,63,X,40,28,Fishing,Surfing,,41,37,54,28,X,60,40
23,h6,1,8,HL,56,81,X,40,28,Fishing,Surfing,,44,19,66,35,X,60,40
24,h6,1,0,LH,31,40,R,56,60,Yoga,Singing,,69,60,40,38,L,40,48
24,h6,1,1,LH,45,47,L,56,60,Yoga,Singing,,55,53,37,44,L,40,48
24,h6,1,2,LH,43,41,L,56,60,Yoga,Singing,,57,59,60,44,R,40,48
24,h6,1,3,LH,38,54,L,56,60,Yoga,Singing,,62,46,42,52,R,40,48
24,h6,1,4,LH,50,37,X,56,60,Yoga,Singing,,50,63,52,55,X,40,48
24,h6,1,5,LH,35,32,X,56,60,Yoga,Singing,,65,68,46,51,X,40,48
24,h6,1,6,LH,41,36,X,56,60,Yoga,Singing,,59,64,50,51,X,40,48
24,h6,1,7,LH,54,48,X,56,60,Yoga,Singing,,46,52,47,34,X,40,48
24,h6,1,8,LH,32,42,X,56,60,Yoga,Singing,,68,58,30,49,X,40,48
25,h6,1,0,LH,57,74,R,40,28,Coding,Podcasts,,43,26,25,48,L,20,40
25,h6,1,1,LH,69,79,R,40,28,Coding,Podcasts,,31,21,20,48,R,20,40
25,h6,1,2,LH,64,75,R,40,28,Coding,Podcasts,,36,25,8,28,R,20,40
25,h6,1,3,LH,60,77,L,40,28,Coding,Podcasts,,40,23,22,33,L,20,40
25,h6,1,4,LH,60,82,X,40,28,Coding,Podcasts,,40,18,29,28,X,20,40
25,h6,1,5,LH,58,71,X,40,28,Coding,Podcasts,,42,29,16,39,X,20,40
25,h6,1,6,LH,62,72,X,40,28,Coding,Podcasts,,38,28,41,51,X,20,40
25,h6,1,7,LH,57,72,X,40,28,Coding,Podcasts,,43,28,22,35,X,20,40
25,h6,1,8,LH,57,71,X,40,28,Coding,Podcasts,,43,29,30,50,X,20,40
26,h6,0,0,LH,69,60,R,56,60,Microbiology,Astronomy,24,,,,,,,
26,h6,0,1,LH,55,53,L,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,2,LH,57,59,L,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,3,LH,62,46,L,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,4,LH,50,63,X,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,5,LH,65,68,X,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,6,LH,59,64,X,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,7,LH,46,52,X,56,60,Microbiology,Astronomy,,,,,,,,
26,h6,0,8,LH,68,58,X,56,60,Microbiology,Astronomy,,,,,,,,
27,h1,1,0,HL,49,25,R,48,60,Salsa (Dance),Ballroom (Dance),,51,75,57,35,L,60,40
27,h1,1,1,HL,42,43,R,48,60,Salsa (Dance),Ballroom (Dance),,58,57,63,50,R,60,40
27,h1,1,2,HL,54,42,L,48,60,Salsa (Dance),Ballroom (Dance),,46,58,57,53,L,60,40
27,h1,1,3,HL,60,52,R,48,60,Salsa (Dance),Ballroom (Dance),,40,48,54,48,R,60,40
27,h1,1,4,HL,58,46,X,48,60,Salsa (Dance),Ballroom (Dance),,42,54,62,36,X,60,40
28,h6,0,0,HL,43,26,R,40,28,Silent Films,Western Movies,25,,,,,,,
28,h6,0,1,HL,31,21,R,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,2,HL,36,25,R,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,3,HL,40,23,L,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,4,HL,40,18,X,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,5,HL,42,29,X,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,6,HL,38,28,X,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,7,HL,43,28,X,40,28,Silent Films,Western Movies,,,,,,,,
28,h6,0,8,HL,43,29,X,40,28,Silent Films,Western Movies,,,,,,,,
29,h6,1,0,LH,38,23,L,60,80,Magic Tricks,Card Games,,62,77,22,58,L,40,52
29,h6,1,1,LH,40,33,L,60,80,Magic Tricks,Card Games,,60,67,32,51,R,40,52
29,h6,1,2,LH,42,32,L,60,80,Magic Tricks,Card Games,,58,68,62,53,L,40,52
29,h6,1,3,LH,43,22,R,60,80,Magic Tricks,Card Games,,57,78,52,54,R,40,52
29,h6,1,4,LH,34,10,X,60,80,Magic Tricks,Card Games,,66,90,37,56,X,40,52
29,h6,1,5,LH,19,25,X,60,80,Magic Tricks,Card Games,,81,75,45,43,X,40,52
29,h6,1,6,LH,33,16,X,60,80,Magic Tricks,Card Games,,67,84,55,51,X,40,52
29,h6,1,7,LH,47,32,X,60,80,Magic Tricks,Card Games,,53,68,45,42,X,40,52
29,h6,1,8,LH,28,12,X,60,80,Magic Tricks,Card Games,,72,88,49,39,X,40,52
30,h1,0,0,LH,43,75,R,40,70,Birding,Writing,41,,,,,,,
30,h1,0,1,LH,30,80,R,40,70,Birding,Writing,,,,,,,,
30,h1,0,2,LH,40,70,R,40,70,Birding,Writing,,,,,,,,
30,h1,0,3,LH,22,65,L,40,70,Birding,Writing,,,,,,,,
30,h1,0,4,LH,40,78,X,40,70,Birding,Writing,,,,,,,,
31,h1,1,0,HL,33,84,R,60,30,Tap Dancing (Dance),Hip Hop (Dance),,67,16,60,66,R,68,60
31,h1,1,1,HL,33,62,R,60,30,Tap Dancing (Dance),Hip Hop (Dance),,67,38,62,54,L,68,60
31,h1,1,2,HL,17,73,R,60,30,Tap Dancing (Dance),Hip Hop (Dance),,83,27,76,51,L,68,60
31,h1,1,3,HL,45,66,L,60,30,Tap Dancing (Dance),Hip Hop (Dance),,55,34,57,60,R,68,60
31,h1,1,4,HL,30,78,X,60,30,Tap Dancing (Dance),Hip Hop (Dance),,70,22,64,44,X,68,60
32,h1,1,0,HL,30,63,R,60,40,Horseback Riding,Sailing,,70,37,30,7,R,40,10
32,h1,1,1,HL,32,64,R,60,40,Horseback Riding,Sailing,,68,36,39,11,L,40,10
32,h1,1,2,HL,54,74,R,60,40,Horseback Riding,Sailing,,46,26,45,1,R,40,10
32,h1,1,3,HL,46,68,L,60,40,Horseback Riding,Sailing,,54,32,46,17,L,40,10
32,h1,1,4,HL,46,54,X,60,40,Horseback Riding,Sailing,,54,46,34,9,X,40,10
33,h6,1,0,HL,72,85,L,40,20,Reality TV,Mystery Novels,,28,15,49,41,L,60,40
33,h6,1,1,HL,47,84,L,40,20,Reality TV,Mystery Novels,,53,16,68,43,R,60,40
33,h6,1,2,HL,45,72,L,40,20,Reality TV,Mystery Novels,,55,28,67,40,L,60,40
33,h6,1,3,HL,47,80,R,40,20,Reality TV,Mystery Novels,,53,20,55,36,R,60,40
33,h6,1,4,HL,47,97,X,40,20,Reality TV,Mystery Novels,,53,3,59,49,X,60,40
33,h6,1,5,HL,60,85,X,40,20,Reality TV,Mystery Novels,,40,15,60,28,X,60,40
33,h6,1,6,HL,55,96,X,40,20,Reality TV,Mystery Novels,,45,4,50,48,X,60,40
33,h6,1,7,HL,59,72,X,40,20,Reality TV,Mystery Novels,,41,28,64,50,X,60,40
33,h6,1,8,HL,57,75,X,40,20,Reality TV,Mystery Novels,,43,25,57,31,X,60,40
34,h6,0,0,LH,62,77,L,60,80,80s Movies,Classic Literature,29,,,,,,,
34,h6,0,1,LH,60,67,L,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,2,LH,58,68,L,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,3,LH,57,78,R,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,4,LH,66,90,X,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,5,LH,81,75,X,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,6,LH,67,84,X,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,7,LH,53,68,X,60,80,80s Movies,Classic Literature,,,,,,,,
34,h6,0,8,LH,72,88,X,60,80,80s Movies,Classic Literature,,,,,,,,
35,h6,1,0,LH,23,55,L,70,40,Philosophy,Environmentalism,,77,45,27,48,R,30,60
35,h6,1,1,LH,32,71,L,70,40,Philosophy,Environmentalism,,68,29,40,61,R,30,60
35,h6,1,2,LH,29,73,L,70,40,Philosophy,Environmentalism,,71,27,20,58,L,30,60
35,h6,1,3,LH,18,65,R,70,40,Philosophy,Environmentalism,,82,35,38,65,L,30,60
35,h6,1,4,LH,36,57,X,70,40,Philosophy,Environmentalism,,64,43,30,62,X,30,60
35,h6,1,5,LH,44,57,X,70,40,Philosophy,Environmentalism,,56,43,25,58,X,30,60
35,h6,1,6,LH,27,53,X,70,40,Philosophy,Environmentalism,,73,47,32,69,X,30,60
35,h6,1,7,LH,20,60,X,70,40,Philosophy,Environmentalism,,80,40,38,65,X,30,60
35,h6,1,8,LH,29,56,X,70,40,Philosophy,Environmentalism,,71,44,40,80,X,30,60
36,h1,0,0,HL,70,37,R,60,40,Guitar,Piano,32,,,,,,,
36,h1,0,1,HL,68,36,R,60,40,Guitar,Piano,,,,,,,,
36,h1,0,2,HL,46,26,R,60,40,Guitar,Piano,,,,,,,,
36,h1,0,3,HL,54,32,L,60,40,Guitar,Piano,,,,,,,,
36,h1,0,4,HL,54,46,X,60,40,Guitar,Piano,,,,,,,,
37,h1,0,0,LH,51,75,R,48,60,Volleyball,Bicycling,27,,,,,,,
37,h1,0,1,LH,58,57,R,48,60,Volleyball,Bicycling,,,,,,,,
37,h1,0,2,LH,46,58,L,48,60,Volleyball,Bicycling,,,,,,,,
37,h1,0,3,LH,40,48,R,48,60,Volleyball,Bicycling,,,,,,,,
37,h1,0,4,LH,42,54,X,48,60,Volleyball,Bicycling,,,,,,,,
38,h6,0,0,HL,77,45,L,70,40,Modeling,Blogging,35,,,,,,,
38,h6,0,1,HL,68,29,L,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,2,HL,71,27,L,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,3,HL,82,35,R,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,4,HL,64,43,X,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,5,HL,56,43,X,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,6,HL,73,47,X,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,7,HL,80,40,X,70,40,Modeling,Blogging,,,,,,,,
38,h6,0,8,HL,71,44,X,70,40,Modeling,Blogging,,,,,,,,
39,h1,0,0,HL,39,32,L,44,40,Marathons,The Olympics,45,,,,,,,
39,h1,0,1,HL,36,52,L,44,40,Marathons,The Olympics,,,,,,,,
39,h1,0,2,HL,39,47,L,44,40,Marathons,The Olympics,,,,,,,,
39,h1,0,3,HL,49,32,R,44,40,Marathons,The Olympics,,,,,,,,
39,h1,0,4,HL,55,46,X,44,40,Marathons,The Olympics,,,,,,,,
40,h6,1,0,HL,31,38,R,56,60,Hockey,Hiking,,69,62,36,38,L,40,28
40,h6,1,1,HL,46,47,L,56,60,Hockey,Hiking,,54,53,37,40,L,40,28
40,h6,1,2,HL,43,41,L,56,60,Hockey,Hiking,,57,59,33,23,R,40,28
40,h6,1,3,HL,38,40,L,56,60,Hockey,Hiking,,62,60,44,27,R,40,28
40,h6,1,4,HL,43,49,X,56,60,Hockey,Hiking,,57,51,22,36,X,40,28
40,h6,1,5,HL,42,50,X,56,60,Hockey,Hiking,,58,50,47,30,X,40,28
40,h6,1,6,HL,35,52,X,56,60,Hockey,Hiking,,65,48,31,16,X,40,28
40,h6,1,7,HL,36,32,X,56,60,Hockey,Hiking,,64,68,47,34,X,40,28
40,h6,1,8,HL,45,46,X,56,60,Hockey,Hiking,,55,54,39,20,X,40,28
41,h1,1,0,LH,57,25,R,40,70,Robotics,Chess,,43,75,65,58,L,52,60
41,h1,1,1,LH,70,20,R,40,70,Robotics,Chess,,30,80,49,64,L,52,60
41,h1,1,2,LH,60,30,R,40,70,Robotics,Chess,,40,70,52,73,R,52,60
41,h1,1,3,LH,78,35,L,40,70,Robotics,Chess,,22,65,52,64,R,52,60
41,h1,1,4,LH,60,22,X,40,70,Robotics,Chess,,40,78,52,62,X,52,60
42,h1,0,0,LH,22,75,R,40,70,Off-Roading,Rock Climbing,22,,,,,,,
42,h1,0,1,LH,30,65,R,40,70,Off-Roading,Rock Climbing,,,,,,,,
42,h1,0,2,LH,40,70,R,40,70,Off-Roading,Rock Climbing,,,,,,,,
42,h1,0,3,LH,43,80,L,40,70,Off-Roading,Rock Climbing,,,,,,,,
42,h1,0,4,LH,44,86,X,40,70,Off-Roading,Rock Climbing,,,,,,,,
43,h1,0,0,LH,32,50,L,36,40,Crocheting,Journaling,71,,,,,,,
43,h1,0,1,LH,39,44,R,36,40,Crocheting,Journaling,,,,,,,,
43,h1,0,2,LH,27,48,L,36,40,Crocheting,Journaling,,,,,,,,
