game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,ITI
9,h6,1,5,LH,46,11,X,41,17,Silent Films,Western Movies,0
9,h6,1,6,LH,39,27,X,41,17,Silent Films,Western Movies,0
9,h6,1,7,LH,32,8,X,41,17,Silent Films,Western Movies,0
9,h6,1,8,LH,48,12,X,41,17,Silent Films,Western Movies,0.5
10,h1,1,0,HL,65,53,R,65,61,Tap Dancing (Dance),Hip Hop (Dance),0
10,h1,1,1,HL,65,61,L,65,61,Tap Dancing (Dance),Hip Hop (Dance),0
10,h1,1,2,HL,65,68,R,65,61,Tap Dancing (Dance),Hip Hop (Dance),0
10,h1,1,3,HL,65,62,R,65,61,Tap Dancing (Dance),Hip Hop (Dance),0
10,h1,1,4,HL,67,60,X,65,61,Tap Dancing (Dance),Hip Hop (Dance),1
11,h6,1,0,LH,34,40,L,42,40,Magic Tricks,Card Games,0
11,h6,1,1,LH,50,40,L,42,40,Magic Tricks,Card Games,0
11,h6,1,2,LH,42,40,L,42,40,Magic Tricks,Card Games,0
11,h6,1,3,LH,42,40,R,42,40,Magic Tricks,Card Games,0
11,h6,1,4,LH,41,39,X,42,40,Magic Tricks,Card Games,0
11,h6,1,5,LH,36,35,X,42,40,Magic Tricks,Card Games,0
11,h6,1,6,LH,47,46,X,42,40,Magic Tricks,Card Games,0
11,h6,1,7,LH,33,32,X,42,40,Magic Tricks,Card Games,0
11,h6,1,8,LH,50,32,X,42,40,Magic Tricks,Card Games,1.5
12,h1,1,0,HL,53,32,R,53,41,Horseback Riding,Sailing,0
12,h1,1,1,HL,53,45,R,53,41,Horseback Riding,Sailing,0
12,h1,1,2,HL,53,41,L,53,41,Horseback Riding,Sailing,0
12,h1,1,3,HL,53,46,R,53,41,Horseback Riding,Sailing,0
12,h1,1,4,HL,50,44,X,53,41,Horseback Riding,Sailing,0.5
13,h6,1,0,HL,15,32,R,15,39,Reality TV,Mystery Novels,0
13,h6,1,1,HL,15,38,R,15,39,Reality TV,Mystery Novels,0
13,h6,1,2,HL,15,47,R,15,39,Reality TV,Mystery Novels,0
13,h6,1,3,HL,15,39,L,15,39,Reality TV,Mystery Novels,0
13,h6,1,4,HL,8,33,X,15,39,Reality TV,Mystery Novels,0
13,h6,1,5,HL,2,36,X,15,39,Reality TV,Mystery Novels,0
13,h6,1,6,HL,21,20,X,15,39,Reality TV,Mystery Novels,0
13,h6,1,7,HL,23,21,X,15,39,Reality TV,Mystery Novels,0
13,h6,1,8,HL,18,42,X,15,39,Reality TV,Mystery Novels,1.5
14,h1,1,0,LH,69,60,L,68,60,Origami,Skincare,0
14,h1,1,1,LH,75,60,L,68,60,Origami,Skincare,0
14,h1,1,2,LH,68,60,R,68,60,Origami,Skincare,0
14,h1,1,3,LH,60,60,L,68,60,Origami,Skincare,0
14,h1,1,4,LH,64,62,X,68,60,Origami,Skincare,0.5
15,h6,1,0,HL,60,62,L,60,62,DJing,Botany,0
15,h6,1,1,HL,60,56,R,60,62,DJing,Botany,0
15,h6,1,2,HL,60,69,R,60,62,DJing,Botany,0
15,h6,1,3,HL,60,61,R,60,62,DJing,Botany,0
15,h6,1,4,HL,55,54,X,60,62,DJing,Botany,0
15,h6,1,5,HL,62,64,X,60,62,DJing,Botany,0
15,h6,1,6,HL,64,69,X,60,62,DJing,Botany,0
15,h6,1,7,HL,51,62,X,60,62,DJing,Botany,0
15,h6,1,8,HL,68,55,X,60,62,DJing,Botany,1
16,h1,1,0,HL,63,32,R,63,39,Volleyball,Bicycling,0
16,h1,1,1,HL,63,38,R,63,39,Volleyball,Bicycling,0
16,h1,1,2,HL,63,47,R,63,39,Volleyball,Bicycling,0
16,h1,1,3,HL,63,39,L,63,39,Volleyball,Bicycling,0
16,h1,1,4,HL,60,45,X,63,39,Volleyball,Bicycling,1.5
17,h6,1,0,HL,56,67,R,56,60,Philosophy,Environmentalism,0
17,h6,1,1,HL,56,60,L,56,60,Philosophy,Environmentalism,0
17,h6,1,2,HL,56,52,R,56,60,Philosophy,Environmentalism,0
17,h6,1,3,HL,56,61,R,56,60,Philosophy,Environmentalism,0
17,h6,1,4,HL,47,53,X,56,60,Philosophy,Environmentalism,0
17,h6,1,5,HL,58,46,X,56,60,Philosophy,Environmentalism,0
17,h6,1,6,HL,65,71,X,56,60,Philosophy,Environmentalism,0
17,h6,1,7,HL,63,64,X,56,60,Philosophy,Environmentalism,0
17,h6,1,8,HL,49,67,X,56,60,Philosophy,Environmentalism,1
18,h1,1,0,LH,52,58,L,60,58,Ballet (Dance),Skiing,0
18,h1,1,1,LH,68,58,L,60,58,Ballet (Dance),Skiing,0
18,h1,1,2,LH,60,58,L,60,58,Ballet (Dance),Skiing,0
18,h1,1,3,LH,60,58,R,60,58,Ballet (Dance),Skiing,0
18,h1,1,4,LH,59,57,X,60,58,Ballet (Dance),Skiing,1
19,h6,1,0,HL,59,62,R,59,71,Beach-combing,Candle Making,0
19,h6,1,1,HL,59,75,R,59,71,Beach-combing,Candle Making,0
19,h6,1,2,HL,59,71,L,59,71,Beach-combing,Candle Making,0
19,h6,1,3,HL,59,76,R,59,71,Beach-combing,Candle Making,0
19,h6,1,4,HL,63,74,X,59,71,Beach-combing,Candle Making,0
19,h6,1,5,HL,48,68,X,59,71,Beach-combing,Candle Making,0
19,h6,1,6,HL,50,62,X,59,71,Beach-combing,Candle Making,0
19,h6,1,7,HL,68,71,X,59,71,Beach-combing,Candle Making,0
19,h6,1,8,HL,62,82,X,59,71,Beach-combing,Candle Making,1
20,h1,0,0,HL,65,48,R,65,41,Baseball,Basketball,0
20,h1,0,1,HL,65,42,R,65,41,Baseball,Basketball,0
20,h1,0,2,HL,65,33,R,65,41,Baseball,Basketball,0
20,h1,0,3,HL,65,41,L,65,41,Baseball,Basketball,0
20,h1,0,4,HL,68,35,X,65,41,Baseball,Basketball,1
21,h6,0,0,HL,41,38,R,41,29,Tennis,Spelunking,0
21,h6,0,1,HL,41,25,R,41,29,Tennis,Spelunking,0
21,h6,0,2,HL,41,29,L,41,29,Tennis,Spelunking,0
21,h6,0,3,HL,41,24,R,41,29,Tennis,Spelunking,0
21,h6,0,4,HL,37,26,X,41,29,Tennis,Spelunking,0
21,h6,0,5,HL,52,32,X,41,29,Tennis,Spelunking,0
21,h6,0,6,HL,50,38,X,41,29,Tennis,Spelunking,0
21,h6,0,7,HL,32,29,X,41,29,Tennis,Spelunking,0
21,h6,0,8,HL,38,18,X,41,29,Tennis,Spelunking,1
22,h1,0,0,LH,47,40,L,44,40,Country Music,Rap Music,0
22,h1,0,1,LH,36,40,L,44,40,Country Music,Rap Music,0
22,h1,0,2,LH,49,40,L,44,40,Country Music,Rap Music,0
22,h1,0,3,LH,44,40,R,44,40,Country Music,Rap Music,0
22,h1,0,4,LH,46,42,X,44,40,Country Music,Rap Music,1.5
23,h6,0,0,HL,38,53,R,38,46,Coffee,Tea,0
23,h6,0,1,HL,38,47,R,38,46,Coffee,Tea,0
23,h6,0,2,HL,38,46,L,38,46,Coffee,Tea,0
23,h6,0,3,HL,38,38,R,38,46,Coffee,Tea,0
23,h6,0,4,HL,41,41,X,38,46,Coffee,Tea,0
23,h6,0,5,HL,37,52,X,38,46,Coffee,Tea,0
23,h6,0,6,HL,30,53,X,38,46,Coffee,Tea,0
23,h6,0,7,HL,47,38,X,38,46,Coffee,Tea,0
23,h6,0,8,HL,30,39,X,38,46,Coffee,Tea,1.5
24,h1,0,0,LH,34,53,L,41,53,Action Movies,Sci-fi Movies,0
24,h1,0,1,LH,50,53,L,41,53,Action Movies,Sci-fi Movies,0
24,h1,0,2,LH,41,53,R,41,53,Action Movies,Sci-fi Movies,0
24,h1,0,3,LH,39,53,L,41,53,Action Movies,Sci-fi Movies,0
24,h1,0,4,LH,45,49,X,41,53,Action Movies,Sci-fi Movies,1
25,h6,0,0,LH,67,83,L,59,83,American Football,Golf,0
25,h6,0,1,LH,58,83,L,59,83,American Football,Golf,0
25,h6,0,2,LH,52,83,L,59,83,American Football,Golf,0
25,h6,0,3,LH,60,83,R,59,83,American Football,Golf,0
25,h6,0,4,LH,63,79,X,59,83,American Football,Golf,0
25,h6,0,5,LH,54,89,X,59,83,American Football,Golf,0
25,h6,0,6,LH,61,73,X,59,83,American Football,Golf,0
25,h6,0,7,LH,68,92,X,59,83,American Football,Golf,0
25,h6,0,8,LH,52,88,X,59,83,American Football,Golf,1.5
26,h1,0,0,LH,48,42,L,40,42,Sewing,Cooking,0
26,h1,0,1,LH,32,42,L,40,42,Sewing,Cooking,0
26,h1,0,2,LH,40,42,L,40,42,Sewing,Cooking,0
26,h1,0,3,LH,40,42,R,40,42,Sewing,Cooking,0
26,h1,0,4,LH,41,43,X,40,42,Sewing,Cooking,0.5
27,h6,0,0,HL,59,71,R,59,63,Rock Music,Pop Music,0
27,h6,0,1,HL,59,63,L,59,63,Rock Music,Pop Music,0
27,h6,0,2,HL,59,56,R,59,63,Rock Music,Pop Music,0
27,h6,0,3,HL,59,62,R,59,63,Rock Music,Pop Music,0
27,h6,0,4,HL,57,64,X,59,63,Rock Music,Pop Music,0
27,h6,0,5,HL,58,78,X,59,63,Rock Music,Pop Music,0
27,h6,0,6,HL,51,53,X,59,63,Rock Music,Pop Music,0
27,h6,0,7,HL,53,60,X,59,63,Rock Music,Pop Music,0
27,h6,0,8,HL,67,57,X,59,63,Rock Music,Pop Music,0.5
28,h1,0,0,LH,67,60,L,68,60,Romance Movies,Horror Movies,0
28,h1,0,1,LH,61,60,L,68,60,Romance Movies,Horror Movies,0
28,h1,0,2,LH,68,60,R,68,60,Romance Movies,Horror Movies,0
28,h1,0,3,LH,76,60,L,68,60,Romance Movies,Horror Movies,0
28,h1,0,4,LH,72,58,X,68,60,Romance Movies,Horror Movies,0.5
29,h6,0,0,HL,44,33,R,44,40,Comedy Movies,Animated Movies,0
29,h6,0,1,HL,44,40,L,44,40,Comedy Movies,Animated Movies,0
29,h6,0,2,HL,44,48,R,44,40,Comedy Movies,Animated Movies,0
29,h6,0,3,HL,44,39,R,44,40,Comedy Movies,Animated Movies,0
29,h6,0,4,HL,53,47,X,44,40,Comedy Movies,Animated Movies,0
29,h6,0,5,HL,42,54,X,44,40,Comedy Movies,Animated Movies,0
29,h6,0,6,HL,35,29,X,44,40,Comedy Movies,Animated Movies,0
29,h6,0,7,HL,37,36,X,44,40,Comedy Movies,Animated Movies,0
29,h6,0,8,HL,51,33,X,44,40,Comedy Movies,Animated Movies,1
30,h1,0,0,HL,60,64,R,60,58,Scuba Diving,Marine Biology,0
30,h1,0,1,HL,60,59,R,60,58,Scuba Diving,Marine Biology,0
30,h1,0,2,HL,60,51,R,60,58,Scuba Diving,Marine Biology,0
30,h1,0,3,HL,60,58,L,60,58,Scuba Diving,Marine Biology,0
30,h1,0,4,HL,59,58,X,60,58,Scuba Diving,Marine Biology,1
31,h6,0,0,LH,51,19,L,43,19,Meditation,Drawing,0
31,h6,0,1,LH,42,19,L,43,19,Meditation,Drawing,0
31,h6,0,2,LH,36,19,L,43,19,Meditation,Drawing,0
31,h6,0,3,LH,44,19,R,43,19,Meditation,Drawing,0
31,h6,0,4,LH,47,15,X,43,19,Meditation,Drawing,0
31,h6,0,5,LH,38,25,X,43,19,Meditation,Drawing,0
31,h6,0,6,LH,45,9,X,43,19,Meditation,Drawing,0
31,h6,0,7,LH,52,28,X,43,19,Meditation,Drawing,0
31,h6,0,8,LH,36,24,X,43,19,Meditation,Drawing,0.5
32,h1,0,0,LH,46,41,L,53,41,Summer (Season),Winter (Season),0
32,h1,0,1,LH,62,41,L,53,41,Summer (Season),Winter (Season),0
32,h1,0,2,LH,53,41,R,53,41,Summer (Season),Winter (Season),0
32,h1,0,3,LH,51,41,L,53,41,Summer (Season),Winter (Season),0
32,h1,0,4,LH,57,37,X,53,41,Summer (Season),Winter (Season),0.5
33,h6,0,0,LH,66,60,L,58,60,Film-making,Scrap Booking,0
33,h6,0,1,LH,50,60,L,58,60,Film-making,Scrap Booking,0
33,h6,0,2,LH,58,60,L,58,60,Film-making,Scrap Booking,0
33,h6,0,3,LH,58,60,R,58,60,Film-making,Scrap Booking,0
33,h6,0,4,LH,59,61,X,58,60,Film-making,Scrap Booking,0
33,h6,0,5,LH,64,65,X,58,60,Film-making,Scrap Booking,0
33,h6,0,6,LH,53,54,X,58,60,Film-making,Scrap Booking,0
33,h6,0,7,LH,67,68,X,58,60,Film-making,Scrap Booking,0
33,h6,0,8,LH,50,68,X,58,60,Film-making,Scrap Booking,0.5
34,h1,0,0,LH,31,40,L,32,40,Civil War History,Medieval History,0
34,h1,0,1,LH,25,40,L,32,40,Civil War History,Medieval History,0
34,h1,0,2,LH,32,40,R,32,40,Civil War History,Medieval History,0
34,h1,0,3,LH,40,40,L,32,40,Civil War History,Medieval History,0
34,h1,0,4,LH,36,38,X,32,40,Civil War History,Medieval History,1.5
35,h6,0,0,HL,58,57,R,58,50,Jazz Music,Electronic Music,0
35,h6,0,1,HL,58,51,R,58,50,Jazz Music,Electronic Music,0
35,h6,0,2,HL,58,50,L,58,50,Jazz Music,Electronic Music,0
35,h6,0,3,HL,58,42,R,58,50,Jazz Music,Electronic Music,0
35,h6,0,4,HL,61,45,X,58,50,Jazz Music,Electronic Music,0
35,h6,0,5,HL,57,56,X,58,50,Jazz Music,Electronic Music,0
35,h6,0,6,HL,50,57,X,58,50,Jazz Music,Electronic Music,0
35,h6,0,7,HL,67,42,X,58,50,Jazz Music,Electronic Music,0
35,h6,0,8,HL,50,43,X,58,50,Jazz Music,Electronic Music,1
36,h1,0,0,HL,37,68,R,37,61,Cars,Motorcycles,0
36,h1,0,1,HL,37,62,R,37,61,Cars,Motorcycles,0
36,h1,0,2,HL,37,53,R,37,61,Cars,Motorcycles,0
36,h1,0,3,HL,37,61,L,37,61,Cars,Motorcycles,0
36,h1,0,4,HL,40,55,X,37,61,Cars,Motorcycles,0.5
37,h6,0,0,HL,41,62,R,41,53,Mythology,Zoology,0
37,h6,0,1,HL,41,49,R,41,53,Mythology,Zoology,0
37,h6,0,2,HL,41,53,L,41,53,Mythology,Zoology,0
37,h6,0,3,HL,41,48,R,41,53,Mythology,Zoology,0
37,h6,0,4,HL,44,50,X,41,53,Mythology,Zoology,0
37,h6,0,5,HL,52,56,X,41,53,Mythology,Zoology,0
37,h6,0,6,HL,50,62,X,41,53,Mythology,Zoology,0
37,h6,0,7,HL,32,53,X,41,53,Mythology,Zoology,0
37,h6,0,8,HL,38,42,X,41,53,Mythology,Zoology,1.5
38,h1,0,0,LH,43,44,L,40,44,Fall (Season),Spring (Season),0
38,h1,0,1,LH,32,44,L,40,44,Fall (Season),Spring (Season),0
38,h1,0,2,LH,45,44,L,40,44,Fall (Season),Spring (Season),0
38,h1,0,3,LH,40,44,R,40,44,Fall (Season),Spring (Season),0
38,h1,0,4,LH,42,46,X,40,44,Fall (Season),Spring (Season),1.5
39,h6,0,0,HL,40,38,L,40,38,Carpentry,Pottery,0
39,h6,0,1,HL,40,44,R,40,38,Carpentry,Pottery,0
39,h6,0,2,HL,40,31,R,40,38,Carpentry,Pottery,0
39,h6,0,3,HL,40,39,R,40,38,Carpentry,Pottery,0
39,h6,0,4,HL,45,46,X,40,38,Carpentry,Pottery,0
39,h6,0,5,HL,38,36,X,40,38,Carpentry,Pottery,0
39,h6,0,6,HL,36,31,X,40,38,Carpentry,Pottery,0
39,h6,0,7,HL,49,38,X,40,38,Carpentry,Pottery,0
39,h6,0,8,HL,32,45,X,40,38,Carpentry,Pottery,1.5
40,h1,1,0,LH,57,56,L,60,56,Guitar,Piano,0
40,h1,1,1,LH,68,56,L,60,56,Guitar,Piano,0
40,h1,1,2,LH,55,56,L,60,56,Guitar,Piano,0
40,h1,1,3,LH,60,56,R,60,56,Guitar,Piano,0
40,h1,1,4,LH,58,54,X,60,56,Guitar,Piano,0.5
41,h6,1,0,LH,49,81,L,57,81,Yoga,Singing,0
41,h6,1,1,LH,58,81,L,57,81,Yoga,Singing,0
41,h6,1,2,LH,64,81,L,57,81,Yoga,Singing,0
41,h6,1,3,LH,56,81,R,57,81,Yoga,Singing,0
41,h6,1,4,LH,53,85,X,57,81,Yoga,Singing,0
41,h6,1,5,LH,62,75,X,57,81,Yoga,Singing,0
41,h6,1,6,LH,55,91,X,57,81,Yoga,Singing,0
41,h6,1,7,LH,48,72,X,57,81,Yoga,Singing,0
41,h6,1,8,LH,64,76,X,57,81,Yoga,Singing,0.5
42,h1,1,0,LH,66,47,L,59,47,Marathons,The Olympics,0
42,h1,1,1,LH,50,47,L,59,47,Marathons,The Olympics,0
42,h1,1,2,LH,59,47,R,59,47,Marathons,The Olympics,0
42,h1,1,3,LH,61,47,L,59,47,Marathons,The Olympics,0
42,h1,1,4,LH,55,51,X,59,47,Marathons,The Olympics,0.5
43,h6,1,0,LH,32,39,L,35,39,Tattooing,Hairdressing,0
43,h6,1,1,LH,43,39,L,35,39,Tattooing,Hairdressing,0
43,h6,1,2,LH,30,39,L,35,39,Tattooing,Hairdressing,0
43,h6,1,3,LH,35,39,R,35,39,Tattooing,Hairdressing,0
43,h6,1,4,LH,26,44,X,35,39,Tattooing,Hairdressing,0
43,h6,1,5,LH,37,33,X,35,39,Tattooing,Hairdressing,0
43,h6,1,6,LH,28,45,X,35,39,Tattooing,Hairdressing,0
43,h6,1,7,LH,44,28,X,35,39,Tattooing,Hairdressing,0
43,h6,1,8,LH,37,46,X,35,39,Tattooing,Hairdressing,1.5
44,h1,1,0,LH,28,60,L,36,60,Aviation,Space Exploration,0
44,h1,1,1,LH,37,60,L,36,60,Aviation,Space Exploration,0
44,h1,1,2,LH,43,60,L,36,60,Aviation,Space Exploration,0
44,h1,1,3,LH,35,60,R,36,60,Aviation,Space Exploration,0
44,h1,1,4,LH,32,64,X,36,60,Aviation,Space Exploration,1.5
45,h6,1,0,LH,50,60,L,58,60,Astrology,Fossils,0
45,h6,1,1,LH,66,60,L,58,60,Astrology,Fossils,0
45,h6,1,2,LH,58,60,L,58,60,Astrology,Fossils,0
45,h6,1,3,LH,58,60,R,58,60,Astrology,Fossils,0
45,h6,1,4,LH,57,59,X,58,60,Astrology,Fossils,0
45,h6,1,5,LH,52,55,X,58,60,Astrology,Fossils,0
45,h6,1,6,LH,63,66,X,58,60,Astrology,Fossils,0
45,h6,1,7,LH,49,52,X,58,60,Astrology,Fossils,0
45,h6,1,8,LH,66,52,X,58,60,Astrology,Fossils,0.5
46,h1,1,0,HL,61,57,R,61,65,Soccer (Football),Frisbee,0
46,h1,1,1,HL,61,65,L,61,65,Soccer (Football),Frisbee,0
46,h1,1,2,HL,61,72,R,61,65,Soccer (Football),Frisbee,0
46,h1,1,3,HL,61,66,R,61,65,Soccer (Football),Frisbee,0
46,h1,1,4,HL,63,64,X,61,65,Soccer (Football),Frisbee,0.5
47,h6,1,0,LH,54,59,L,47,59,Rafting,Car Racing,0
47,h6,1,1,LH,38,59,L,47,59,Rafting,Car Racing,0
47,h6,1,2,LH,47,59,R,47,59,Rafting,Car Racing,0
47,h6,1,3,LH,49,59,L,47,59,Rafting,Car Racing,0
47,h6,1,4,LH,43,63,X,47,59,Rafting,Car Racing,0
47,h6,1,5,LH,48,50,X,47,59,Rafting,Car Racing,0
47,h6,1,6,LH,37,67,X,47,59,Rafting,Car Racing,0
47,h6,1,7,LH,40,64,X,47,59,Rafting,Car Racing,0
47,h6,1,8,LH,63,49,X,47,59,Rafting,Car Racing,0.5
48,h1,1,0,HL,60,52,R,60,58,Sneakers,Fashion,0
48,h1,1,1,HL,60,57,R,60,58,Sneakers,Fashion,0
48,h1,1,2,HL,60,65,R,60,58,Sneakers,Fashion,0
48,h1,1,3,HL,60,58,L,60,58,Sneakers,Fashion,0
48,h1,1,4,HL,61,58,X,60,58,Sneakers,Fashion,1
49,h6,1,0,LH,46,27,L,39,27,Cats,Holidays,0
49,h6,1,1,LH,30,27,L,39,27,Cats,Holidays,0
49,h6,1,2,LH,39,27,R,39,27,Cats,Holidays,0
49,h6,1,3,LH,41,27,L,39,27,Cats,Holidays,0
49,h6,1,4,LH,35,31,X,39,27,Cats,Holidays,0
49,h6,1,5,LH,40,18,X,39,27,Cats,Holidays,0
49,h6,1,6,LH,29,35,X,39,27,Cats,Holidays,0
49,h6,1,7,LH,32,32,X,39,27,Cats,Holidays,0
49,h6,1,8,LH,55,17,X,39,27,Cats,Holidays,1.5
50,h1,1,0,HL,32,33,R,32,40,Documentaries,Travel,0
50,h1,1,1,HL,32,40,L,32,40,Documentaries,Travel,0
50,h1,1,2,HL,32,39,R,32,40,Documentaries,Travel,0
50,h1,1,3,HL,32,48,R,32,40,Documentaries,Travel,0
50,h1,1,4,HL,29,45,X,32,40,Documentaries,Travel,1
51,h6,1,0,HL,64,33,R,64,40,Woodcarving,Classical Music,0
51,h6,1,1,HL,64,39,R,64,40,Woodcarving,Classical Music,0
51,h6,1,2,HL,64,48,R,64,40,Woodcarving,Classical Music,0
51,h6,1,3,HL,64,40,L,64,40,Woodcarving,Classical Music,0
51,h6,1,4,HL,57,34,X,64,40,Woodcarving,Classical Music,0
51,h6,1,5,HL,51,47,X,64,40,Woodcarving,Classical Music,0
51,h6,1,6,HL,70,31,X,64,40,Woodcarving,Classical Music,0
51,h6,1,7,HL,72,32,X,64,40,Woodcarving,Classical Music,0
51,h6,1,8,LH,67,53,X,64,40,Woodcarving,Classical Music,1.5
52,h1,1,0,LH,32,42,L,40,42,Investing,Crossword,0
52,h1,1,1,LH,48,42,L,40,42,Investing,Crossword,0
52,h1,1,2,LH,40,42,L,40,42,Investing,Crossword,0
52,h1,1,3,LH,40,42,R,40,42,Investing,Crossword,0
52,h1,1,4,LH,39,41,X,40,42,Investing,Crossword,1
53,h6,1,0,LH,40,39,L,43,39,Modeling,Blogging,0
53,h6,1,1,LH,51,39,L,43,39,Modeling,Blogging,0
53,h6,1,2,LH,38,39,L,43,39,Modeling,Blogging,0
53,h6,1,3,LH,43,39,R,43,39,Modeling,Blogging,0
53,h6,1,4,LH,34,44,X,43,39,Modeling,Blogging,0
53,h6,1,5,LH,45,33,X,43,39,Modeling,Blogging,0
53,h6,1,6,LH,36,45,X,43,39,Modeling,Blogging,0
53,h6,1,7,LH,52,28,X,43,39,Modeling,Blogging,0
53,h6,1,8,LH,45,46,X,43,39,Modeling,Blogging,1
54,h1,1,0,HL,68,53,R,68,60,Video Games,Photography,0
54,h1,1,1,HL,68,59,R,68,60,Video Games,Photography,0
54,h1,1,2,HL,68,60,L,68,60,Video Games,Photography,0
54,h1,1,3,HL,68,68,R,68,60,Video Games,Photography,0
54,h1,1,4,HL,65,65,X,68,60,Video Games,Photography,1
55,h6,1,0,LH,61,52,L,60,52,Beekeeping,Jewelry Making,0
55,h6,1,1,LH,67,52,L,60,52,Beekeeping,Jewelry Making,0
55,h6,1,2,LH,60,52,R,60,52,Beekeeping,Jewelry Making,0
55,h6,1,3,LH,52,52,L,60,52,Beekeeping,Jewelry Making,0
