trial_number,group,session,rt
87,others (averages),Session 1,0.452
88,others (averages),Session 1,0.239
89,others (averages),Session 1,0.363
90,others (averages),Session 1,0.657
91,others (averages),Session 1,1.88
92,others (averages),Session 1,0.4
93,others (averages),Session 1,0.484
94,others (averages),Session 1,0.379
95,others (averages),Session 1,0.514
96,others (averages),Session 1,0.611
97,others (averages),Session 1,0.777
98,others (averages),Session 1,0.513
99,others (averages),Session 1,0.405
100,others (averages),Session 1,0.464
101,others (averages),Session 1,0.623
102,others (averages),Session 1,0.44
103,others (averages),Session 1,0.403
104,others (averages),Session 1,0.413
105,others (averages),Session 1,0.544
106,others (averages),Session 1,0.553
107,others (averages),Session 1,0.579
108,others (averages),Session 1,0.729
109,others (averages),Session 1,0.587
110,others (averages),Session 1,0.628
111,others (averages),Session 1,0.546
112,others (averages),Session 1,0.445
113,others (averages),Session 1,0.528
114,others (averages),Session 1,0.47
115,others (averages),Session 1,0.473
116,others (averages),Session 1,0.589
117,others (averages),Session 1,0.553
118,others (averages),Session 1,0.297
119,others (averages),Session 1,0.392
120,others (averages),Session 1,0.401
121,others (averages),Session 1,0.424
122,others (averages),Session 1,0.99
123,others (averages),Session 1,0.452
124,others (averages),Session 1,0.688
125,others (averages),Session 1,0.616
126,others (averages),Session 1,0.377
127,others (averages),Session 1,0.027
128,others (averages),Session 1,0.125
129,others (averages),Session 1,1.029
130,others (averages),Session 1,0.533
131,others (averages),Session 1,0.394
132,others (averages),Session 1,0.355
133,others (averages),Session 1,0.341
134,others (averages),Session 1,0.53
135,others (averages),Session 1,0.393
136,others (averages),Session 1,0.404
137,others (averages),Session 1,0.674
138,others (averages),Session 1,0.556
139,others (averages),Session 1,0.475
140,others (averages),Session 1,0.484
141,others (averages),Session 1,0.513
142,others (averages),Session 1,0.658
143,others (averages),Session 1,0.484
144,others (averages),Session 1,0.454
145,others (averages),Session 1,0.542
146,others (averages),Session 1,0.588
147,others (averages),Session 1,0.52
148,others (averages),Session 1,0.66
149,others (averages),Session 1,0.516
150,others (averages),Session 1,0.478
151,others (averages),Session 1,0.56
152,others (averages),Session 1,0.102
153,others (averages),Session 1,0.795
154,others (averages),Session 1,0.034
155,others (averages),Session 1,0.473
156,others (averages),Session 1,0.623
157,others (averages),Session 1,0.444
158,others (averages),Session 1,0.5
159,others (averages),Session 1,0.203
160,others (averages),Session 1,0.614
161,others (averages),Session 1,0.476
162,others (averages),Session 1,0.519
163,others (averages),Session 1,0.353
164,others (averages),Session 1,0.581
165,others (averages),Session 1,0.521
166,others (averages),Session 1,0.573
167,others (averages),Session 1,0.526
168,others (averages),Session 1,0.513
169,others (averages),Session 1,0.457
170,others (averages),Session 1,0.514
171,others (averages),Session 1,0.56
172,others (averages),Session 1,0.396
173,others (averages),Session 1,0.898
174,others (averages),Session 1,0.692
175,others (averages),Session 1,0.513
176,others (averages),Session 1,0.579
177,others (averages),Session 1,0.518
178,others (averages),Session 1,0.467
179,others (averages),Session 1,0.621
180,others (averages),Session 1,0.498
181,others (averages),Session 1,0.479
182,others (averages),Session 1,0.413
183,others (averages),Session 1,0.451
184,others (averages),Session 1,0.4
185,others (averages),Session 1,0.518
186,others (averages),Session 1,0.533
187,others (averages),Session 1,0.613
188,others (averages),Session 1,0.455
189,others (averages),Session 1,0.57
190,others (averages),Session 1,0.55
191,others (averages),Session 1,0.514
192,others (averages),Session 1,0.409
193,others (averages),Session 1,0.645
194,others (averages),Session 1,4.706
195,others (averages),Session 1,0.915
196,others (averages),Session 1,0.147
197,others (averages),Session 1,1.188
1,others (averages),Session 2,0.611
2,others (averages),Session 2,1.097
3,others (averages),Session 2,0.95
4,others (averages),Session 2,0.717
5,others (averages),Session 2,0.592
6,others (averages),Session 2,0.547
7,others (averages),Session 2,0.695
8,others (averages),Session 2,0.66
9,others (averages),Session 2,0.565
10,others (averages),Session 2,0.713
11,others (averages),Session 2,0.722
12,others (averages),Session 2,1.49
13,others (averages),Session 2,0.681
14,others (averages),Session 2,0.67
15,others (averages),Session 2,0.602
16,others (averages),Session 2,0.466
17,others (averages),Session 2,0.575
18,others (averages),Session 2,0.612
19,others (averages),Session 2,0.713
20,others (averages),Session 2,0.624
21,others (averages),Session 2,0.671
22,others (averages),Session 2,0.383
23,others (averages),Session 2,0.726
24,others (averages),Session 2,0.594
25,others (averages),Session 2,0.623
26,others (averages),Session 2,0.61
27,others (averages),Session 2,0.499
28,others (averages),Session 2,0.531
29,others (averages),Session 2,0.554
30,others (averages),Session 2,0.471
31,others (averages),Session 2,0.85
32,others (averages),Session 2,0.528
33,others (averages),Session 2,0.564
34,others (averages),Session 2,0.582
35,others (averages),Session 2,0.601
36,others (averages),Session 2,0.583
37,others (averages),Session 2,0.523
38,others (averages),Session 2,0.794
39,others (averages),Session 2,0.65
40,others (averages),Session 2,0.642
41,others (averages),Session 2,0.609
42,others (averages),Session 2,0.613
43,others (averages),Session 2,0.483
44,others (averages),Session 2,0.727
45,others (averages),Session 2,0.639
46,others (averages),Session 2,0.688
47,others (averages),Session 2,0.531
48,others (averages),Session 2,0.803
49,others (averages),Session 2,0.741
50,others (averages),Session 2,0.877
51,others (averages),Session 2,0.601
52,others (averages),Session 2,0.744
53,others (averages),Session 2,0.568
54,others (averages),Session 2,0.637
55,others (averages),Session 2,0.577
56,others (averages),Session 2,0.632
57,others (averages),Session 2,0.906
58,others (averages),Session 2,0.674
59,others (averages),Session 2,0.732
60,others (averages),Session 2,0.709
61,others (averages),Session 2,0.603
62,others (averages),Session 2,0.715
63,others (averages),Session 2,0.584
64,others (averages),Session 2,0.761
65,others (averages),Session 2,1.34
66,others (averages),Session 2,0.497
67,others (averages),Session 2,0.529
68,others (averages),Session 2,0.544
69,others (averages),Session 2,1.239
70,others (averages),Session 2,0.857
71,others (averages),Session 2,0.709
72,others (averages),Session 2,0.558
73,others (averages),Session 2,0.666
74,others (averages),Session 2,1.209
75,others (averages),Session 2,0.55
76,others (averages),Session 2,0.587
77,others (averages),Session 2,0.684
78,others (averages),Session 2,0.557
79,others (averages),Session 2,0.57
80,others (averages),Session 2,0.412
81,others (averages),Session 2,1.005
82,others (averages),Session 2,1.059
83,others (averages),Session 2,0.772
84,others (averages),Session 2,1.194
85,others (averages),Session 2,0.606
86,others (averages),Session 2,0.528
87,others (averages),Session 2,0.785
88,others (averages),Session 2,0.49
89,others (averages),Session 2,0.554
90,others (averages),Session 2,0.676
91,others (averages),Session 2,0.667
92,others (averages),Session 2,0.678
93,others (averages),Session 2,0.985
94,others (averages),Session 2,1.025
95,others (averages),Session 2,0.595
96,others (averages),Session 2,0.694
97,others (averages),Session 2,0.684
98,others (averages),Session 2,0.717
99,others (averages),Session 2,1.854
100,others (averages),Session 2,0.546
101,others (averages),Session 2,0.638
102,others (averages),Session 2,0.812
103,others (averages),Session 2,0.577
104,others (averages),Session 2,0.583
105,others (averages),Session 2,0.849
106,others (averages),Session 2,0.583
107,others (averages),Session 2,0.556
108,others (averages),Session 2,0.426
109,others (averages),Session 2,0.584
110,others (averages),Session 2,0.656
111,others (averages),Session 2,0.808
112,others (averages),Session 2,0.571
113,others (averages),Session 2,0.412
114,others (averages),Session 2,0.499
115,others (averages),Session 2,0.583
116,others (averages),Session 2,0.606
117,others (averages),Session 2,0.581
118,others (averages),Session 2,0.573
119,others (averages),Session 2,0.871
120,others (averages),Session 2,1.106
121,others (averages),Session 2,0.574
122,others (averages),Session 2,0.658
123,others (averages),Session 2,0.718
124,others (averages),Session 2,0.774
125,others (averages),Session 2,0.594
126,others (averages),Session 2,0.625
127,others (averages),Session 2,0.722
128,others (averages),Session 2,0.586
129,others (averages),Session 2,1.112
130,others (averages),Session 2,0.529
131,others (averages),Session 2,0.597
132,others (averages),Session 2,0.8
133,others (averages),Session 2,0.52
134,others (averages),Session 2,0.462
135,others (averages),Session 2,0.578
136,others (averages),Session 2,0.594
137,others (averages),Session 2,0.553
138,others (averages),Session 2,0.591
139,others (averages),Session 2,0.574
140,others (averages),Session 2,0.583
141,others (averages),Session 2,0.824
142,others (averages),Session 2,0.51
143,others (averages),Session 2,0.627
144,others (averages),Session 2,0.732
145,others (averages),Session 2,0.522
146,others (averages),Session 2,0.56
147,others (averages),Session 2,0.693
148,others (averages),Session 2,0.589
149,others (averages),Session 2,1.152
150,others (averages),Session 2,0.556
151,others (averages),Session 2,0.595
152,others (averages),Session 2,0.499
153,others (averages),Session 2,0.53
154,others (averages),Session 2,0.562
155,others (averages),Session 2,0.505
156,others (averages),Session 2,0.658
157,others (averages),Session 2,0.499
158,others (averages),Session 2,0.633
159,others (averages),Session 2,0.542
160,others (averages),Session 2,1.945
161,others (averages),Session 2,0.646
162,others (averages),Session 2,1.138
163,others (averages),Session 2,0.644
164,others (averages),Session 2,0.655
165,others (averages),Session 2,0.484
166,others (averages),Session 2,0.532
167,others (averages),Session 2,0.526
168,others (averages),Session 2,0.696
169,others (averages),Session 2,0.473
170,others (averages),Session 2,0.699
171,others (averages),Session 2,0.489
172,others (averages),Session 2,0.635
173,others (averages),Session 2,0.679
174,others (averages),Session 2,0.563
175,others (averages),Session 2,0.493
176,others (averages),Session 2,0.682
177,others (averages),Session 2,0.702
178,others (averages),Session 2,0.595
179,others (averages),Session 2,1.655
180,others (averages),Session 2,0.594
181,others (averages),Session 2,0.588
182,others (averages),Session 2,0.529
183,others (averages),Session 2,0.563
184,others (averages),Session 2,0.557
185,others (averages),Session 2,0.577
186,others (averages),Session 2,0.521
187,others (averages),Session 2,0.368
188,others (averages),Session 2,0.601
189,others (averages),Session 2,0.586
190,others (averages),Session 2,0.774
191,others (averages),Session 2,0.519
192,others (averages),Session 2,0.738
193,others (averages),Session 2,0.608
194,others (averages),Session 2,0.449
195,others (averages),Session 2,0.546
196,others (averages),Session 2,1.799
197,others (averages),Session 2,4.744
