trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration,,,
89,sad,low,high,0.5,0.203125,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
90,angry,low,low,1,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
91,sad,high,low,0.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,high
92,angry,low,high,1.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
93,angry,low,high,1,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
94,sad,low,low,1.5,0.203125,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
95,angry,low,high,0.5,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,low
96,angry,low,low,1,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,low
97,sad,high,high,0.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,high
98,angry,low,low,1.5,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
99,sad,high,low,1,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
100,sad,high,high,1.5,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
101,angry,high,low,1,0.203125,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
102,sad,low,high,1.5,0.203125,64,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
103,angry,low,low,1,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,low
104,sad,high,high,1.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
105,angry,low,high,1,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
106,angry,low,high,0.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
107,angry,high,low,1.5,0.203125,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
108,sad,high,low,0.5,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,high
109,angry,low,high,1.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
110,sad,high,low,1,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
111,angry,high,high,0.5,0.203125,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,high
112,sad,low,low,0.5,0.203125,64,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
113,sad,high,high,1.5,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,high
114,angry,low,low,1,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
115,sad,high,high,1.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
116,angry,low,low,1,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,low
117,sad,high,high,0.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,high
118,sad,low,low,1,0.203125,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
119,angry,low,low,1.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
120,angry,low,high,0.5,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,low
121,angry,high,low,1.5,0.203125,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
122,sad,high,high,1,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
123,sad,low,low,1.5,0.203125,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
124,angry,low,high,1,0.203125,64,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,low
125,angry,low,high,1.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
126,sad,high,low,0.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
127,angry,low,low,1.5,0.203125,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
128,sad,low,high,1,0.203125,64,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
129,angry,low,low,0.5,0.203125,64,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
130,angry,high,low,1,0.203125,64,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
131,sad,high,low,0.5,0.203125,64,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
132,angry,low,high,1.5,0.203125,64,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
133,sad,low,low,0.5,0.203125,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
134,angry,high,high,0.5,0.203125,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
135,sad,high,low,1.5,0.203125,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,high
136,sad,low,high,1,0.203125,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
137,angry,high,high,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
138,sad,low,low,1,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
139,angry,high,high,1.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
140,sad,low,low,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
141,angry,high,high,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
142,sad,low,low,0.5,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
143,angry,high,high,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
144,angry,high,high,1,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
145,sad,low,high,0.5,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
146,angry,high,low,1,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
147,sad,high,low,1.5,0.90625,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
148,sad,low,high,0.5,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
149,angry,high,low,1.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
150,sad,low,high,1,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
151,angry,high,low,1,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
152,sad,low,high,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
153,angry,high,low,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
154,sad,low,high,1.5,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
155,angry,high,high,0.5,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
156,sad,low,low,1.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
157,sad,low,low,1,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
158,angry,high,high,0.5,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,high
159,sad,low,high,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
160,angry,low,low,1,0.90625,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,low
161,sad,low,low,1.5,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
162,sad,low,high,0.5,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
163,angry,high,low,0.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
164,sad,low,high,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
165,angry,low,low,0.5,0.90625,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
166,angry,high,high,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
167,angry,high,low,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
168,sad,low,low,1,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
169,sad,high,high,0.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
170,angry,low,low,1,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,low
171,sad,high,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
172,sad,high,low,1,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
173,angry,low,low,1.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
174,sad,high,high,0.5,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
175,angry,high,high,0.5,0.09375,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
176,sad,high,low,1,0.09375,32,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,high
177,angry,low,high,0.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
178,sad,high,low,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
179,angry,low,low,1,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
180,angry,low,high,0.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
181,sad,low,low,1,0.09375,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
182,angry,low,high,1.5,0.09375,32,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,low
183,sad,high,low,1,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
184,sad,high,high,0.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
185,angry,low,low,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
186,sad,high,low,0.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
187,sad,high,high,1,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
188,angry,low,high,0.5,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
189,sad,high,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
190,angry,low,low,1,0.09375,32,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,low
191,angry,low,high,0.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
192,sad,high,low,1,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,high
193,angry,low,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
194,sad,low,low,1.5,0.09375,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
195,angry,low,low,1,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
196,sad,high,high,0.5,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
197,angry,low,low,1,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
198,angry,low,high,1.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
199,sad,high,high,1.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
200,angry,low,low,0.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,low
201,angry,high,high,1.5,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
202,angry,high,low,1,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
