game_number,game_type,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,force_type
26,h6,6,LH,59,64,X,56,60,UL
26,h6,7,LH,46,52,X,56,60,UL
26,h6,8,LH,68,58,X,56,60,UL
26,h6,9,LH,62,62,X,56,60,UL
27,h1,0,HL,57,35,L,60,40,E
27,h1,1,HL,63,50,R,60,40,E
27,h1,2,HL,57,53,L,60,40,E
27,h1,3,HL,54,48,R,60,40,E
27,h1,4,HL,62,36,X,60,40,E
28,h6,0,HL,43,26,R,40,28,UR
28,h6,1,HL,31,21,R,40,28,UR
28,h6,2,HL,36,25,R,40,28,UR
28,h6,3,HL,40,23,L,40,28,UR
28,h6,4,HL,40,18,X,40,28,UR
28,h6,5,HL,42,29,X,40,28,UR
28,h6,6,HL,38,28,X,40,28,UR
28,h6,7,HL,43,28,X,40,28,UR
28,h6,8,HL,43,29,X,40,28,UR
28,h6,9,HL,45,35,X,40,28,UR
29,h6,0,LH,22,58,L,40,52,E
29,h6,1,LH,32,51,R,40,52,E
29,h6,2,LH,62,53,L,40,52,E
29,h6,3,LH,52,54,R,40,52,E
29,h6,4,LH,37,56,X,40,52,E
29,h6,5,LH,45,43,X,40,52,E
29,h6,6,LH,55,51,X,40,52,E
29,h6,7,LH,45,42,X,40,52,E
29,h6,8,LH,49,39,X,40,52,E
29,h6,9,LH,34,68,X,40,52,E
30,h1,0,LH,43,75,R,40,70,UR
30,h1,1,LH,30,80,R,40,70,UR
30,h1,2,LH,40,70,R,40,70,UR
30,h1,3,LH,22,65,L,40,70,UR
30,h1,4,LH,40,78,X,40,70,UR
31,h1,0,HL,60,66,R,68,60,E
31,h1,1,HL,62,54,L,68,60,E
31,h1,2,HL,76,51,L,68,60,E
31,h1,3,HL,57,60,R,68,60,E
31,h1,4,HL,64,44,X,68,60,E
32,h1,0,HL,30,7,R,40,10,E
32,h1,1,HL,39,11,L,40,10,E
32,h1,2,HL,45,1,R,40,10,E
32,h1,3,HL,46,17,L,40,10,E
32,h1,4,HL,34,9,X,40,10,E
33,h6,0,HL,49,41,L,60,40,E
33,h6,1,HL,68,43,R,60,40,E
33,h6,2,HL,67,40,L,60,40,E
33,h6,3,HL,55,36,R,60,40,E
33,h6,4,HL,59,49,X,60,40,E
33,h6,5,HL,60,28,X,60,40,E
33,h6,6,HL,50,48,X,60,40,E
33,h6,7,HL,64,50,X,60,40,E
33,h6,8,HL,57,31,X,60,40,E
33,h6,9,HL,54,45,X,60,40,E
34,h6,0,LH,62,77,L,60,80,UL
34,h6,1,LH,60,67,L,60,80,UL
34,h6,2,LH,58,68,L,60,80,UL
34,h6,3,LH,57,78,R,60,80,UL
34,h6,4,LH,66,90,X,60,80,UL
34,h6,5,LH,81,75,X,60,80,UL
34,h6,6,LH,67,84,X,60,80,UL
34,h6,7,LH,53,68,X,60,80,UL
34,h6,8,LH,72,88,X,60,80,UL
34,h6,9,LH,58,63,X,60,80,UL
35,h6,0,LH,27,48,R,30,60,E
35,h6,1,LH,40,61,R,30,60,E
35,h6,2,LH,20,58,L,30,60,E
35,h6,3,LH,38,65,L,30,60,E
35,h6,4,LH,30,62,X,30,60,E
35,h6,5,LH,25,58,X,30,60,E
35,h6,6,LH,32,69,X,30,60,E
35,h6,7,LH,38,65,X,30,60,E
35,h6,8,LH,40,80,X,30,60,E
35,h6,9,LH,18,68,X,30,60,E
36,h1,0,HL,70,37,R,60,40,UR
36,h1,1,HL,68,36,R,60,40,UR
36,h1,2,HL,46,26,R,60,40,UR
36,h1,3,HL,54,32,L,60,40,UR
36,h1,4,HL,54,46,X,60,40,UR
37,h1,0,LH,51,75,R,48,60,UR
37,h1,1,LH,58,57,R,48,60,UR
37,h1,2,LH,46,58,L,48,60,UR
37,h1,3,LH,40,48,R,48,60,UR
37,h1,4,LH,42,54,X,48,60,UR
38,h6,0,HL,77,45,L,70,40,UL
38,h6,1,HL,68,29,L,70,40,UL
38,h6,2,HL,71,27,L,70,40,UL
38,h6,3,HL,82,35,R,70,40,UL
38,h6,4,HL,64,43,X,70,40,UL
38,h6,5,HL,56,43,X,70,40,UL
38,h6,6,HL,73,47,X,70,40,UL
38,h6,7,HL,80,40,X,70,40,UL
38,h6,8,HL,71,44,X,70,40,UL
38,h6,9,HL,83,48,X,70,40,UL
39,h1,0,HL,39,32,L,44,40,UL
39,h1,1,HL,36,52,L,44,40,UL
39,h1,2,HL,39,47,L,44,40,UL
39,h1,3,HL,49,32,R,44,40,UL
39,h1,4,HL,55,46,X,44,40,UL
40,h6,0,HL,36,38,L,40,28,E
40,h6,1,HL,37,40,L,40,28,E
40,h6,2,HL,33,23,R,40,28,E
40,h6,3,HL,44,27,R,40,28,E
40,h6,4,HL,22,36,X,40,28,E
40,h6,5,HL,47,30,X,40,28,E
40,h6,6,HL,31,16,X,40,28,E
40,h6,7,HL,47,34,X,40,28,E
40,h6,8,HL,39,20,X,40,28,E
40,h6,9,HL,37,36,X,40,28,E
41,h1,0,LH,65,58,L,52,60,E
41,h1,1,LH,49,64,L,52,60,E
41,h1,2,LH,52,73,R,52,60,E
41,h1,3,LH,52,64,R,52,60,E
41,h1,4,LH,52,62,X,52,60,E
42,h1,0,LH,22,75,R,40,70,UR
42,h1,1,LH,30,65,R,40,70,UR
42,h1,2,LH,40,70,R,40,70,UR
42,h1,3,LH,43,80,L,40,70,UR
42,h1,4,LH,44,86,X,40,70,UR
43,h1,0,LH,32,50,L,36,40,UL
43,h1,1,LH,39,44,R,36,40,UL
43,h1,2,LH,27,48,L,36,40,UL
43,h1,3,LH,44,31,L,36,40,UL
43,h1,4,LH,42,45,X,36,40,UL
44,h1,0,HL,58,57,L,64,60,E
44,h1,1,HL,68,62,R,64,60,E
44,h1,2,HL,61,75,L,64,60,E
44,h1,3,HL,44,57,R,64,60,E
44,h1,4,HL,65,64,X,64,60,E
45,h1,0,HL,60,55,L,72,60,E
45,h1,1,HL,69,48,R,72,60,E
45,h1,2,HL,62,75,L,72,60,E
45,h1,3,HL,69,50,R,72,60,E
45,h1,4,HL,75,58,X,72,60,E
46,h6,0,LH,72,71,L,60,64,E
46,h6,1,LH,61,87,L,60,64,E
46,h6,2,LH,49,70,R,60,64,E
46,h6,3,LH,61,65,R,60,64,E
46,h6,4,LH,70,72,X,60,64,E
46,h6,5,LH,69,65,X,60,64,E
46,h6,6,LH,60,52,X,60,64,E
46,h6,7,LH,63,61,X,60,64,E
46,h6,8,LH,58,76,X,60,64,E
46,h6,9,LH,54,59,X,60,64,E
47,h1,0,HL,67,59,L,68,60,UL
47,h1,1,HL,54,58,R,68,60,UL
47,h1,2,HL,57,48,L,68,60,UL
47,h1,3,HL,65,61,L,68,60,UL
47,h1,4,HL,70,45,X,68,60,UL
48,h1,0,HL,67,16,R,60,30,UR
48,h1,1,HL,67,38,R,60,30,UR
48,h1,2,HL,83,27,R,60,30,UR
48,h1,3,HL,55,34,L,60,30,UR
48,h1,4,HL,70,22,X,60,30,UR
49,h6,0,HL,72,45,L,70,40,UL
49,h6,1,HL,68,29,L,70,40,UL
49,h6,2,HL,64,27,L,70,40,UL
49,h6,3,HL,82,31,R,70,40,UL
49,h6,4,HL,77,23,X,70,40,UL
49,h6,5,HL,74,35,X,70,40,UL
49,h6,6,HL,86,53,X,70,40,UL
49,h6,7,HL,68,32,X,70,40,UL
49,h6,8,HL,71,27,X,70,40,UL
49,h6,9,HL,67,43,X,70,40,UL
50,h6,0,HL,89,65,L,90,60,E
50,h6,1,HL,88,57,L,90,60,E
50,h6,2,HL,84,72,R,90,60,E
50,h6,3,HL,76,67,R,90,60,E
50,h6,4,HL,96,66,X,90,60,E
50,h6,5,HL,99,61,X,90,60,E
50,h6,6,HL,84,67,X,90,60,E
50,h6,7,HL,91,70,X,90,60,E
50,h6,8,HL,85,51,X,90,60,E
50,h6,9,HL,83,59,X,90,60,E
51,h6,0,HL,60,51,R,60,52,E
51,h6,1,HL,55,43,L,60,52,E
51,h6,2,HL,59,62,L,60,52,E
51,h6,3,HL,53,52,R,60,52,E
51,h6,4,HL,52,57,X,60,52,E
51,h6,5,HL,78,49,X,60,52,E
51,h6,6,HL,44,61,X,60,52,E
51,h6,7,HL,65,44,X,60,52,E
51,h6,8,HL,60,42,X,60,52,E
51,h6,9,HL,59,67,X,60,52,E
52,h6,0,LH,40,38,L,40,48,E
52,h6,1,LH,42,44,L,40,48,E
52,h6,2,LH,60,47,R,40,48,E
52,h6,3,LH,37,52,R,40,48,E
52,h6,4,LH,31,59,X,40,48,E
52,h6,5,LH,39,40,X,40,48,E
52,h6,6,LH,43,44,X,40,48,E
52,h6,7,LH,50,47,X,40,48,E
52,h6,8,LH,55,41,X,40,48,E
52,h6,9,LH,34,45,X,40,48,E
53,h6,0,LH,19,45,R,30,60,UL
53,h6,1,LH,39,62,L,30,60,UL
53,h6,2,LH,24,65,L,30,60,UL
53,h6,3,LH,42,55,L,30,60,UL
53,h6,4,LH,37,72,X,30,60,UL
53,h6,5,LH,31,61,X,30,60,UL
53,h6,6,LH,33,50,X,30,60,UL
53,h6,7,LH,29,88,X,30,60,UL
53,h6,8,LH,11,62,X,30,60,UL
53,h6,9,LH,44,70,X,30,60,UL
54,h6,0,HL,41,38,L,40,28,E
54,h6,1,HL,37,27,L,40,28,E
54,h6,2,HL,33,23,R,40,28,E
54,h6,3,HL,44,40,R,40,28,E
54,h6,4,HL,27,30,X,40,28,E
54,h6,5,HL,36,28,X,40,28,E
54,h6,6,HL,45,35,X,40,28,E
54,h6,7,HL,44,28,X,40,28,E
54,h6,8,HL,42,30,X,40,28,E
54,h6,9,HL,45,31,X,40,28,E
55,h1,0,LH,40,64,L,40,52,UL
55,h1,1,LH,34,52,L,40,52,UL
55,h1,2,LH,40,58,R,40,52,UL
55,h1,3,LH,58,62,L,40,52,UL
55,h1,4,LH,44,48,X,40,52,UL
56,h6,0,HL,60,56,R,60,52,UR
56,h6,1,HL,67,49,L,60,52,UR
56,h6,2,HL,67,51,R,60,52,UR
56,h6,3,HL,69,59,R,60,52,UR
56,h6,4,HL,70,78,X,60,52,UR
56,h6,5,HL,55,45,X,60,52,UR
56,h6,6,HL,75,51,X,60,52,UR
56,h6,7,HL,66,67,X,60,52,UR
56,h6,8,HL,61,45,X,60,52,UR
56,h6,9,HL,60,63,X,60,52,UR
57,h6,0,HL,39,36,R,40,36,E
57,h6,1,HL,31,38,R,40,36,E
57,h6,2,HL,46,27,L,40,36,E
57,h6,3,HL,35,50,L,40,36,E
57,h6,4,HL,46,20,X,40,36,E
57,h6,5,HL,45,22,X,40,36,E
57,h6,6,HL,31,42,X,40,36,E
57,h6,7,HL,40,31,X,40,36,E
57,h6,8,HL,49,43,X,40,36,E
57,h6,9,HL,26,21,X,40,36,E
58,h1,0,HL,75,57,L,64,60,E
58,h1,1,HL,68,75,R,64,60,E
58,h1,2,HL,61,62,L,64,60,E
58,h1,3,HL,44,57,R,64,60,E
58,h1,4,HL,58,52,X,64,60,E
59,h6,0,LH,19,65,R,30,60,UL
59,h6,1,LH,39,62,L,30,60,UL
59,h6,2,LH,24,45,L,30,60,UL
59,h6,3,LH,25,55,L,30,60,UL
59,h6,4,LH,40,55,X,30,60,UL
59,h6,5,LH,23,71,X,30,60,UL
59,h6,6,LH,42,65,X,30,60,UL
59,h6,7,LH,28,55,X,30,60,UL
59,h6,8,LH,17,65,X,30,60,UL
59,h6,9,LH,30,64,X,30,60,UL
60,h6,0,LH,69,62,R,56,60,UL
60,h6,1,LH,54,53,L,56,60,UL
60,h6,2,LH,57,59,L,56,60,UL
60,h6,3,LH,62,60,L,56,60,UL
60,h6,4,LH,57,51,X,56,60,UL
60,h6,5,LH,58,50,X,56,60,UL
60,h6,6,LH,65,48,X,56,60,UL
60,h6,7,LH,64,68,X,56,60,UL
60,h6,8,LH,55,54,X,56,60,UL
60,h6,9,LH,44,46,X,56,60,UL
61,h1,0,HL,54,35,L,60,40,E
61,h1,1,HL,63,42,R,60,40,E
61,h1,2,HL,57,53,L,60,40,E
61,h1,3,HL,57,48,R,60,40,E
61,h1,4,HL,58,50,X,60,40,E
62,h6,0,HL,60,56,R,60,52,UR
62,h6,1,HL,62,49,L,60,52,UR
62,h6,2,HL,67,51,R,60,52,UR
62,h6,3,HL,69,53,R,60,52,UR
62,h6,4,HL,57,49,X,60,52,UR
62,h6,5,HL,62,39,X,60,52,UR
62,h6,6,HL,42,47,X,60,52,UR
62,h6,7,HL,69,36,X,60,52,UR
62,h6,8,HL,67,45,X,60,52,UR
62,h6,9,HL,58,56,X,60,52,UR
63,h6,0,LH,65,77,L,60,80,UL
63,h6,1,LH,60,78,L,60,80,UL
63,h6,2,LH,58,68,L,60,80,UL
63,h6,3,LH,57,81,R,60,80,UL
63,h6,4,LH,64,82,X,60,80,UL
63,h6,5,LH,53,89,X,60,80,UL
63,h6,6,LH,58,72,X,60,80,UL
63,h6,7,LH,56,73,X,60,80,UL
63,h6,8,LH,59,91,X,60,80,UL
63,h6,9,LH,48,67,X,60,80,UL
64,h1,0,LH,25,38,L,32,40,UL
64,h1,1,LH,44,57,L,32,40,UL
64,h1,2,LH,29,47,R,32,40,UL
64,h1,3,LH,36,31,L,32,40,UL
64,h1,4,LH,14,23,X,32,40,UL
65,h6,0,LH,53,39,R,40,48,UR
65,h6,1,LH,50,55,R,40,48,UR
65,h6,2,LH,44,56,L,40,48,UR
65,h6,3,LH,49,50,R,40,48,UR
65,h6,4,LH,37,38,X,40,48,UR
65,h6,5,LH,46,28,X,40,48,UR
65,h6,6,LH,44,58,X,40,48,UR
65,h6,7,LH,51,64,X,40,48,UR
65,h6,8,LH,36,56,X,40,48,UR
65,h6,9,LH,47,42,X,40,48,UR
66,h6,0,HL,28,15,L,40,20,UL
66,h6,1,HL,53,16,L,40,20,UL
66,h6,2,HL,34,28,L,40,20,UL
66,h6,3,HL,53,21,R,40,20,UL
66,h6,4,HL,40,24,X,40,20,UL
66,h6,5,HL,52,24,X,40,20,UL
66,h6,6,HL,55,16,X,40,20,UL
66,h6,7,HL,24,24,X,40,20,UL
66,h6,8,HL,40,23,X,40,20,UL
66,h6,9,HL,45,28,X,40,20,UL
67,h6,0,LH,60,79,R,60,72,UR
67,h6,1,LH,57,66,R,60,72,UR
67,h6,2,LH,64,65,L,60,72,UR
67,h6,3,LH,63,69,R,60,72,UR
67,h6,4,LH,65,75,X,60,72,UR
67,h6,5,LH,52,77,X,60,72,UR
67,h6,6,LH,73,86,X,60,72,UR
67,h6,7,LH,66,80,X,60,72,UR
67,h6,8,LH,57,73,X,60,72,UR
67,h6,9,LH,60,75,X,60,72,UR
68,h1,0,LH,45,56,R,40,60,UR
68,h1,1,LH,29,52,R,40,60,UR
68,h1,2,LH,47,60,R,40,60,UR
68,h1,3,LH,36,57,L,40,60,UR
68,h1,4,LH,41,51,X,40,60,UR
69,h6,0,LH,25,48,L,20,40,E
69,h6,1,LH,20,33,R,20,40,E
69,h6,2,LH,8,50,R,20,40,E
69,h6,3,LH,14,48,L,20,40,E
69,h6,4,LH,22,28,X,20,40,E
69,h6,5,LH,24,35,X,20,40,E
69,h6,6,LH,22,40,X,20,40,E
69,h6,7,LH,27,49,X,20,40,E
69,h6,8,LH,31,37,X,20,40,E
69,h6,9,LH,26,57,X,20,40,E
70,h1,0,LH,32,76,L,40,60,E
70,h1,1,LH,37,65,R,40,60,E
70,h1,2,LH,37,68,L,40,60,E
70,h1,3,LH,46,55,R,40,60,E
70,h1,4,LH,31,69,X,40,60,E
71,h1,0,LH,48,67,R,40,70,E
71,h1,1,LH,31,62,L,40,70,E
71,h1,2,LH,39,65,R,40,70,E
71,h1,3,LH,50,62,L,40,70,E
71,h1,4,LH,47,64,X,40,70,E
72,h1,0,LH,32,50,L,36,40,UL
72,h1,1,LH,39,48,R,36,40,UL
72,h1,2,LH,32,44,L,36,40,UL
72,h1,3,LH,44,31,L,36,40,UL
72,h1,4,LH,27,33,X,36,40,UL
73,h1,0,LH,29,30,R,28,40,E
73,h1,1,LH,27,39,L,28,40,E
73,h1,2,LH,25,54,R,28,40,E
73,h1,3,LH,31,44,L,28,40,E
73,h1,4,LH,26,45,X,28,40,E
74,h1,0,LH,46,75,R,48,60,UR
74,h1,1,LH,58,48,R,48,60,UR
74,h1,2,LH,51,58,L,48,60,UR
74,h1,3,LH,40,57,R,48,60,UR
74,h1,4,LH,29,51,X,48,60,UR
75,h1,0,LH,58,43,L,56,60,E
75,h1,1,LH,33,67,R,56,60,E
75,h1,2,LH,55,59,L,56,60,E
75,h1,3,LH,42,64,R,56,60,E
75,h1,4,LH,66,59,X,56,60,E
76,h6,0,HL,55,61,R,60,52,E
76,h6,1,HL,60,43,L,60,52,E
76,h6,2,HL,65,62,L,60,52,E
76,h6,3,HL,53,41,R,60,52,E
76,h6,4,HL,61,57,X,60,52,E
76,h6,5,HL,59,67,X,60,52,E
76,h6,6,HL,42,45,X,60,52,E
76,h6,7,HL,60,45,X,60,52,E
76,h6,8,HL,64,53,X,60,52,E
76,h6,9,HL,56,38,X,60,52,E
77,h1,0,LH,52,73,L,52,60,E
77,h1,1,LH,49,64,L,52,60,E
77,h1,2,LH,65,58,R,52,60,E
77,h1,3,LH,52,61,R,52,60,E
77,h1,4,LH,57,64,X,52,60,E
78,h6,0,LH,64,66,R,60,72,UR
78,h6,1,LH,57,79,R,60,72,UR
78,h6,2,LH,60,65,L,60,72,UR
78,h6,3,LH,63,63,R,60,72,UR
78,h6,4,LH,67,90,X,60,72,UR
78,h6,5,LH,56,69,X,60,72,UR
78,h6,6,LH,53,64,X,60,72,UR
78,h6,7,LH,65,72,X,60,72,UR
78,h6,8,LH,54,66,X,60,72,UR
78,h6,9,LH,63,62,X,60,72,UR
79,h1,0,LH,36,57,R,40,60,UR
79,h1,1,LH,29,52,R,40,60,UR
79,h1,2,LH,47,60,R,40,60,UR
79,h1,3,LH,45,56,L,40,60,UR
79,h1,4,LH,31,50,X,40,60,UR
